id,brand,model,description,price,list_1,list_2,list_3,list_4,list_5,list_6,list_7,list_8,list_9
690396,KROMY,cremas,"KROOMY Crema Mani/Choc 24 x 10 g",2312.50,0,2312.50,2334.10,2357.60,2402.90,2446.20,2501.20,2548.40,2666.30
690404,MARENGO,bolita,"MARENGO Bolita Menta x 454 g (70u)",1954.00,0,1954.00,1972.30,1992.20,2030.40,2067.10,2113.50,2153.40,2253.00
690405,LHERITIER,,"LHERITIER Postre Mani 150 g x 30 u",29113.10,0,29113.10,29378.10,29666.90,30223.10,30755.70,31430.30,32010.20,33458.70
690406,MARENGO,bolita,"MARENGO Bolita Acida Surtida x 454 g (70u)",1954.00,0,1954.00,1972.30,1992.20,2030.40,2067.10,2113.50,2153.40,2253.00
690410,MARENGO,,"MARENGO Bolita Euc Azuc x 454 g (70u)",1954.00,0,1954.00,1972.30,1992.20,2030.40,2067.10,2113.50,2153.40,2253.00
690412,MARENGO,bolon,"MARENGO Bolon Durleche x 454 g (50u)",1954.00,0,1954.00,1972.30,1992.20,2030.40,2067.10,2113.50,2153.40,2253.00
690413,MARENGO,bolon,"MARENGO Bolon Anis x 454 g",1954.00,0,1954.00,1972.30,1992.20,2030.40,2067.10,2113.50,2153.40,2253.00
690510,DODI,,"DODI Jugo Nja-Ban x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690511,DODI,,"DODI Jugo Nja-Dzno x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690512,DODI,,"DODI Jugo Naranja x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690514,DODI,,"DODI Jugo Pera x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690515,DODI,,"DODI Jugo Mango-Dulce x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690516,DODI,,"DODI Jugo Nja-Mango x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690517,DODI,,"DODI Jugo Limonada x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690518,DODI,,"DODI Jugo Mix Tropical x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690520,DODI,,"DODI Jugo Durazno x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690522,DODI,,"DODI Jugo Manzana x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690524,DODI,,"DODI Jugo Frutilla x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690526,DODI,,"DODI Jugo Limon x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690528,DODI,,"DODI Jugo Anana x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690531,"BIG C",bebibles,"BIG C Jugo Dzno 200 ml x 18 u",4787.70,0,4787.70,4831.30,4878.80,4970.20,5057.80,5168.80,5264.10,5502.30
690533,"BIG C",bebibles,"BIG C Jugo Multifruta 200 ml x 18 u",4787.70,0,4787.70,4831.30,4878.80,4970.20,5057.80,5168.80,5264.10,5502.30
690540,DODI,"jugo polvo","DODI Jugo Mandarina x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690542,DODI,"jugo polvo","DODI Jugo Pomelo-Mznilla x 15 u",2813.30,0,2813.30,2838.60,2866.00,2918.90,2969.50,3033.70,3088.80,3226.60
690680,BAGLEY,paquetes,"ARCOR Gta Tortitas Chocolatada 24 x 125 g",18500.20,0,18500.20,18668.60,18852.10,19205.60,19544.00,19972.70,20341.20,21261.70
702308,EDRA,anillos,"DELICIAS NNA Anillos 10 x 300 g",8927.70,0,8927.70,9007.60,9094.80,9262.60,9423.30,9626.90,9801.80,10238.90
703043,GEORGALOS,lenguetazo,"FLYNN PAFF Monkey Tutti x 32 u (X)",3567.52,0,3567.52,3600.00,3635.39,3703.55,3768.81,3851.47,3922.53,4100.04
703150,GEORGALOS,"sin azucar","GEORGALOS Tabl SinAzucar Bco 12 x 30 g",14326.00,0,14326.00,14456.50,14598.60,14872.30,15134.40,15466.30,15751.70,16464.50
703154,GEORGALOS,"relleno masticable","FLYNN PAFF Chup C/Mast Cereza x 24 u",3619.10,0,3619.10,3652.10,3688.00,3757.10,3823.30,3907.20,3979.30,4159.40
703500,GEORGALOS,"chocolate con mani","GEORGALOS Tabl Full Mani Rell  8 x 140 gr",13275.10,0,13275.10,13396.00,13527.60,13781.30,14024.10,14331.70,14596.10,15256.60
705231,GEORGALOS,"sin azucar","GEORGALOS Tabl SinAzucar Yogurt/Frut 12 x 30 g",14326.00,0,14326.00,14456.50,14598.60,14872.30,15134.40,15466.30,15751.70,16464.50
904010,Ducrem,cremas,"DUCREM Crema Leche Condensada 36 x 10 Gr",3635.81,0,3635.81,3669.74,3706.71,3777.91,3846.08,3932.43,4006.66,4192.09
1190244,PAYSANDU,"artesanal Paleta","PAYSANDU Chup Paletita 18 x 25 u",31840.20,0,31840.20,32125.50,32436.20,33034.80,33608.00,34333.90,34958.00,36516.90
1301001,LULEMMU,,"LULEMUU Alf Arroz Rell Limon x 12 x 22 g",3953.80,0,3953.80,3989.80,4029.00,4104.50,4176.90,4268.50,4347.20,4543.90
1301002,LULEMMU,arroz,"LULEMUU Bizcocho Arroz Grasa 24 x 50 g",13041.72,0,13041.72,13160.47,13289.83,13539.00,13777.57,14079.75,14339.53,14988.43
1301014,LULEMMU,arroz,"LULEMUU CHORQUI Oblea Arroz Yogurt Ftlla x 20 u",6456.50,0,6456.50,6515.20,6579.30,6702.60,6820.70,6970.40,7099.00,7420.20
1301027,MISKY,ovalado,"ALKA Clo Acido Surtido x 800 g (400 u)",5463.30,0,5463.30,5514.30,5569.90,5676.90,5779.30,5909.10,6020.60,6299.20
1301100,VARIOS,,"MANDUVI Lentejita Fruta x 10 u",2002.12,0,2084.70,2103.40,2123.70,2162.90,2200.40,2247.90,2288.80,2390.90
1310004,MISKY,,"HAMLET Chocolatoso 21 x 43 g",7100.70,0,7861.50,7934.90,8014.80,8168.70,8316.10,8502.80,8663.40,9064.30
2101003,PEPITO,,"PEPITO Jugo Bebible Mza x 18 u",5200.50,0,5200.50,5248.10,5299.40,5398.80,5494.00,5614.40,5718.00,5977.00
2101066,PEPITO,,"PEPITO Jugo Bebible Nja x 18 u",5200.50,0,5200.50,5248.10,5299.40,5398.80,5494.00,5614.40,5722.20,5977.00
2103014,SMINT,display,"DORIN`S Past corazon 20 x 25 g",4028.75,0,4028.75,4064.85,4104.17,4179.91,4252.42,4344.28,4423.24,4620.49
2108004,PEPITO,bebibles,"PEPITO Jugo Bebible MultiFrutal x 18 u",5200.50,0,5200.50,5248.10,5299.40,5398.80,5494.00,5614.40,5718.00,5977.00
2301004,"LA DOLCE",,"BULL DOG Past Uva x 12 u",2369.20,0,2753.80,2778.90,2806.20,2858.80,2909.20,2973.00,3027.90,3164.90
2301012,"LA DOLCE",,"BIYU Past Tutti C/Sorpresas 12 x 20 g",7799.03,0,7955.00,8027.40,8106.40,8258.30,8403.90,8588.20,8746.60,9142.40
2338044,BARILOCHE,economicas,"BARILOCHE Tabl Duo 10 x 35 g",6089.08,0,6089.08,6144.53,6204.92,6321.26,6432.64,6573.73,6695.02,6997.99
2338236,BARILOCHE,"dulce leche","BARILOCHE Bomb Barilochito D Leche 24 x 13 g",11025.77,0,11025.77,11126.17,11235.53,11446.18,11647.87,11903.35,12122.97,12671.57
2338510,"LA DOLCE",,"BULL DOG Chup Crazy x 10 u",3584.24,0,3763.40,3797.70,3835.00,3906.90,3975.80,4063.00,4137.90,4325.20
2490001,"LA DOLCE",,"MENTITAS Menta 12 x 26 g",2479.77,0,2529.40,2552.40,2577.50,2625.80,2672.10,2730.70,2781.10,2906.90
2490002,TURIMAR,manteca,"TURIMAR Gta Mantekita 8 x 400 g",7631.30,0,7631.30,7699.70,7774.20,7917.60,8055.00,8229.00,8378.60,8752.20
2490005,"LA DOLCE",,"MENTITAS Dce Leche 12 x 26 g",2479.77,0,2529.40,2552.40,2577.50,2625.80,2672.10,2730.70,2781.10,2906.90
2490006,TURIMAR,manteca,"TURIMAR Gta Mantekita 14 x 170 g",6874.60,0,6874.60,6936.20,7003.30,7132.60,7256.30,7413.10,7547.80,7884.40
2490011,"LA DOLCE",,"MENTITAS Frutal 12 x 25 g",2479.77,0,2529.40,2552.40,2577.50,2625.80,2672.10,2730.70,2778.60,2906.90
2490012,TURIMAR,miel,"TURIMAR Gta Miel 8 x 400 g",7739.90,0,7739.90,7809.20,7884.80,8030.30,8169.60,8346.10,8497.80,8876.70
2490016,TURIMAR,miel,"TURIMAR Gta Miel 14 x 170 g",7320.70,0,7320.70,7386.30,7457.70,7595.30,7727.10,7894.00,8037.50,8395.90
2490021,"LA DOLCE",display,"MENTITAS Sandia 12 x 26 g",2529.40,0,2529.40,2552.40,2577.50,2625.80,2672.10,2730.70,2781.10,2906.90
2490023,"LA DOLCE",display,"MENTITAS Cherry 12 x 26 g",2529.40,0,2529.40,2552.40,2577.50,2625.80,2672.10,2730.70,2781.10,2906.90
2490030,TURIMAR,,"TURIMAR Gta Palmeritas 14 x 200 g",16640.89,0,16544.90,16693.10,16854.60,17165.60,17463.40,17840.70,18165.00,18975.00
2490031,TURIMAR,,"TURIMAR Gta CChips 36 x 150 g",20452.71,0,19114.40,19285.70,19472.30,19831.60,20175.70,20611.50,20986.10,21922.00
2490036,TURIMAR,,"TURIMAR Gta MiniChips 30 x 50 g",7667.13,0,7282.00,7347.30,7418.30,7555.20,7686.30,7852.40,7995.10,8351.60
2490039,TURIMAR,,"TURIMAR Gta CChips 16 x 400 g",20458.35,0,19119.70,19291.00,19477.60,19837.10,20181.20,20617.20,20991.90,21928.00
2490040,TURIMAR,palmeritas,"TURIMAR Gta Palmeritas 10 x 400 g",21734.40,0,21734.40,21929.10,22141.30,22549.90,22941.10,23436.60,23862.60,24926.70
2490049,TURIMAR,surtidas,"TURIMAR Gta Surt 36 x 170 g",19226.20,0,19226.20,19398.40,19586.10,19947.50,20293.60,20732.00,21108.80,22050.10
2490056,EDRA,,"EDRA Gta Surtido 15 x 300 g",10290.06,0,10804.70,10901.50,11007.00,11210.10,11404.60,11650.90,11862.70,12391.70
2490057,EDRA,manteca,"DELICIAS NNA Gta Mantenonnas 26 x 150 g",10711.90,0,10711.90,10807.80,10912.40,11113.80,11306.60,11550.80,11759.90,12285.20
2490063,EDRA,pepas,"DELICIAS NNA Pepas CChips 16 x 320 g",13556.20,0,13556.20,13677.70,13810.00,14064.90,14308.90,14618.00,14883.70,15547.40
2490065,NEVARES,bañada,"NEVARES SwissRoll Oblea Bnda 36 x 30 g",6034.20,0,6034.20,6089.20,6149.00,6264.30,6374.70,6514.50,6634.70,6934.90
2490066,EDRA,,"DELICIAS NNA Pepas 14 x 350 g",11926.34,0,12835.70,12952.60,13079.90,13325.10,13559.90,13857.40,14113.00,14751.70
2490067,EDRA,,"DELICIAS NNA Pepas 24 x 180 g",10473.25,0,11270.50,11373.20,11485.00,11700.30,11906.50,12167.60,12392.10,12952.90
2490068,EDRA,pepas,"DELICIAS NNA Pepas Batata 14 x 300 g",11205.70,0,11205.70,11306.10,11415.50,11626.20,11827.90,12083.40,12303.00,12851.60
2490069,EDRA,pepas,"DELICIAS NNA Pepas Batata 24 x 180 g",11246.70,0,11246.70,11347.50,11457.30,11668.70,11871.10,12127.60,12348.00,12898.60
2490074,FANTOCHE,mini,"FANTOCHE Alf Cunita Bco 24 x 150 g",25103.02,0,25103.02,25337.32,25592.53,26084.13,26554.82,27151.01,27663.53,28943.79
2490076,FANTOCHE,tapitas,"FANTOCHE Gta Espumita 12 x 300 g",10281.98,0,10281.98,10377.94,10482.48,10683.83,10876.62,11120.82,11330.74,11855.12
2490078,FANTOCHE,mini,"FANTOCHE Alf XS Bco 20 x 25 Gr",3143.25,0,3143.25,3172.58,3204.54,3266.09,3325.03,3399.68,3463.86,3624.16
2490081,FANTOCHE,,"FANTOCHE Gta Tapita x 3.5 k",9778.10,0,9778.10,9864.33,9958.27,10139.20,10312.43,10531.86,10720.50,11191.69
2490082,FANTOCHE,chocolinas,"FANTOCHE Gta Horoscopo 12 x 300 g",11349.70,0,11349.70,11455.63,11571.02,11793.29,12006.09,12275.65,12507.37,13086.21
2490086,FANTOCHE,,"FANTOCHE Gta Marmolada 12 x 350 g",10861.33,0,10861.33,10962.70,11073.12,11285.82,11489.47,11747.43,11969.18,12523.11
2490092,FANTOCHE,,"FANTOCHE Gta Yayita Chips 12 x 275 g",11350.88,0,11350.88,11456.82,11572.22,11794.51,12007.33,12276.92,12508.67,13087.56
2490095,FANTOCHE,tapitas,"FANTOCHE Gta Tapita 12 x 350 g",11792.10,0,11792.10,11902.10,12022.00,12253.00,12474.10,12754.10,12994.90,13596.30
2490097,"DON SATUR",,"DON SATUR Bizcocho 30 x 200 g",17760.10,0,17326.90,17488.70,17664.80,18004.10,18329.00,18740.50,19094.30,19978.00
2490098,"DON SATUR",,"DON SATUR Bizc Grasi-Dul 30 x 200 g",17760.10,0,17326.90,17488.70,17664.80,18004.10,18329.00,18740.50,19094.30,19978.00
2490099,"DON SATUR",,"DON SATUR Bizc Negrito 30 x 200 g",17760.10,0,17326.90,17488.70,17664.80,18004.10,18329.00,18740.50,19094.30,19978.00
2490103,JORGITO,bizcochos,"JORGITO Bizc Grasa x 200 g",14824.99,0,14824.99,14959.98,15107.03,15390.27,15661.46,16004.96,16300.26,17037.89
2490106,BAGLEY,,"BAGLEY Gta Surtida x 400 g",39059.70,0,39059.70,39415.30,39802.70,40549.00,41263.50,42168.60,42946.60,44890.00
2490109,NOGALI,,"NOGALI Gta Sandwich 18 x 300 g",11752.60,0,11752.60,11857.70,11973.00,12193.40,12405.50,12672.90,12903.40,13478.70
2490111,NOGALI,vocacion,"NOGALI Gta Maria 15 x 360 g",12815.98,0,12815.98,12930.81,13055.90,13296.84,13527.53,13819.73,14070.92,14698.40
2490112,NOGALI,vocacion,"NOGALI Gta Maria Miel 15 x 360 g",12815.98,0,12815.98,12930.81,13055.90,13296.84,13527.53,13819.73,14070.92,14698.40
2490121,NOGALI,azucarada,"NOGALI Gta Azucarada 15 x 250 g",8656.59,0,8656.59,8734.15,8818.64,8981.38,9137.20,9334.57,9504.24,9928.06
2490122,NOGALI,anillos,"NOGALI Gta Anillos 15 x 300 g",10393.50,0,10393.50,10486.63,10588.07,10783.46,10970.55,11207.52,11411.23,11920.10
2490125,NOGALI,"crackers sandwich","NOGALI Gta Sandwich 15 x 330 g",10333.54,0,10333.54,10426.13,10526.98,10721.25,10907.25,11142.86,11345.40,11851.33
2490131,NOGALI,cereales,"NOGALI Gta Salvado 15 x 360 g",11662.70,0,11662.70,11767.20,11881.03,12100.29,12310.22,12576.13,12804.72,13375.72
2490132,NOGALI,"crackers sandwich","NOGALI Gta SSal 15 x 330 g",10851.21,0,10851.21,10948.44,11054.35,11258.35,11453.67,11701.08,11913.76,12445.04
2490136,OBLITA,,"OBLITA Oblea 50 g  Dce Leche",11087.44,0,11087.44,11188.40,11298.37,11510.20,11713.02,11969.93,12190.77,12742.44
2490141,OBLITA,,"OBLITA Oblea 50 g  Vainilla",11087.44,0,11087.44,11188.40,11298.37,11510.20,11713.02,11969.93,12190.77,12742.44
2490142,OBLITA,"sin baño","OBLITA Oblea 50 g Choc",11087.44,0,11087.44,11188.40,11298.37,11510.20,11713.02,11969.93,12190.77,12742.44
2490143,VENHOR,,"MAR DE ORO Gta Pepas 14 x 400 g",12022.30,0,11895.30,12004.20,12122.40,12349.40,12567.00,12842.80,13079.30,13671.20
2490145,OBLITA,,"OBLITA Oblea 50 g  Frutilla",11087.44,0,11087.44,11188.40,11298.37,11510.20,11713.02,11969.93,12190.77,12742.44
2490146,OBLITA,,"OBLITA Oblea 50 g  Limon",11087.44,0,11087.44,11188.40,11298.37,11510.20,11713.02,11969.93,12190.77,12742.44
2490148,"DON SATUR",magdalenas,"DON SATUR Magdalenas Vain 10 x 200 g",11742.50,0,11742.50,11847.70,11962.30,12183.10,12394.50,12662.20,12892.40,13467.30
